cell,cond,bucket,n,dates,mean5,t5,hit,mean10,t10,train_t,test_t,test_mean,base_mean,confirmed
bull_flag/forming,vs_ema20,above,609,297,0.20642783872435466,0.8562644904408963,0.49261083743842365,0.5422015900189471,1.9709667853335922,0.0986855216700035,1.1235108345089617,0.7315785974376786,0.17595572032016324,False
donchian20_down/confirmed,vol_ratio,1-2x,1339,367,-0.02936179927095158,0.8161900085266913,0.5145631067961165,0.044798793023485495,0.6057346175905303,1.8790459367590078,-1.2487939692931624,-0.6085627571774935,-0.0573539172757341,False
donchian20_down/confirmed,vol_ratio,2-3x,479,242,-0.29801333847001926,-1.191044839831339,0.5031315240083507,-0.627749052784491,-1.5829977307727194,-1.1455682265770806,-0.49320890609302076,-0.7161097127055204,-0.0573539172757341,False
donchian20_down/confirmed,rsi,30-45,1662,395,-0.014598421994667592,0.46957764513841016,0.5180505415162455,-0.1535284375758992,-0.13763204218538672,1.4249820779645503,-1.3146044453379104,-0.3931886921149375,-0.0573539172757341,False
donchian20_down/confirmed,rsi,<30,527,232,-0.2015657200113081,-0.5479302773176159,0.5009487666034156,0.3521116596174511,0.6921652259641553,0.37290621189616524,-1.2644782787793032,-0.8289892752097465,-0.0573539172757341,False
donchian20_down/confirmed,atr_pct,high,940,305,-0.26812540215359437,0.6165855976568774,0.5095744680851064,-0.6099609564116979,-0.7293008912929545,1.061899424466662,-0.5281440245568488,-0.5838563159170146,-0.0573539172757341,False
donchian20_down/confirmed,atr_pct,mid,734,320,0.21552701015218487,1.1589072145824968,0.5313351498637602,0.4513319412904822,1.6557258734902311,1.7120197836654376,-0.2732351551078934,-0.25720256107030603,-0.0573539172757341,False
donchian20_down/confirmed,price,$2-10,1057,340,-0.11563287506897714,0.7258469810143413,0.5070955534531694,-0.21655254638211044,0.33715441235631544,1.410502585643862,-0.6229793877272214,-0.5042602555311395,-0.0573539172757341,False
donchian20_down/confirmed,price,>$10,879,326,0.18377854274956634,0.3313123174814822,0.5335608646188851,0.30132267722110256,0.9563748650568532,2.0534466752590363,-1.2872237753033788,-0.4397265826772946,-0.0573539172757341,False
donchian20_down/confirmed,vs_ema20,below,2209,421,-0.0573539172757341,0.5119810694332876,0.5133544590312359,-0.051502113767437754,0.27869626859460783,1.3772537469571218,-1.0729675322529244,-0.49603839555300694,-0.0573539172757341,False
donchian20_down/confirmed,mkt20,mkt flat,1442,296,-0.2646279239452185,-0.7268357827665053,0.5041608876560333,-0.21516619234598344,-0.7928971506257915,0.2949893267294772,-1.7018618390247464,-0.8582639999380393,-0.0573539172757341,False
donchian20_down/forming,vol_ratio,1-2x,2169,445,0.03816607332856111,0.814322172357913,0.520977408944214,0.1335809716895175,0.3822805767271326,1.1230440407691138,-0.032034357544510415,-0.23447888931865504,0.08968829758193658,False
donchian20_down/forming,vol_ratio,2-3x,588,292,0.10482173992165572,-0.0544107447984323,0.5595238095238095,-0.2069148563768192,-1.5837056032413106,0.08564800349034371,-0.17824900477396885,-0.16404617236958655,0.08968829758193658,False
